Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Age dependency ratio (% of working-age population),SP.POP.DPND,Algeria,DZA,47.933328654764,48.1468038782324,48.6666348803114,49.5347087755241,50.679694261496,51.9617741709185,53.3154368599169,54.679122352021,55.9538641191913,57.0539875279503,57.889466858055,58.4637314615723,58.8083853434703
Age dependency ratio (% of working-age population),SP.POP.DPND,Angola,AGO,93.5865714749235,93.564316856464,93.5445035012493,93.5357206512902,93.50197258566,93.4474130485586,93.2905807499209,93.0134888756629,92.6985720227367,92.3135596096688,91.9259640912821,91.4739484069112,90.8950195044044
Age dependency ratio (% of working-age population),SP.POP.DPND,Bahrain,BHR,29.1753145708404,29.445757449867,28.8346248990307,28.6608764464078,29.6618650822691,30.1106779850436,29.8159485473694,29.4620624936683,29.4161767175483,29.897876949853,30.7122218270546,31.3471460732251,31.4791032966405
Age dependency ratio (% of working-age population),SP.POP.DPND,Benin,BEN,88.2084184308842,87.6751474801744,87.2210378441964,86.8221087619852,86.3992732867741,86.0519846336015,85.8316638591334,85.6087497219097,85.31471125305,84.9368438665782,84.5070179995855,84.0074855144422,83.4713859767241
Age dependency ratio (% of working-age population),SP.POP.DPND,Botswana,BWA,61.2920240157061,60.8338188157144,60.5664563595514,60.3452377939204,60.1151503946607,59.8469881999375,59.4915613916975,59.1012367268801,58.7479075128787,58.4261715744495,58.0259677717636,57.4982917148627,56.8802124742116
Age dependency ratio (% of working-age population),SP.POP.DPND,Burkina Faso,BFA,93.5238467586573,93.7107156724749,93.7327591671874,93.6202739318772,93.3426142851534,92.8955898803601,92.2809497745209,91.5140775344056,90.6765983535932,89.7668848528412,88.6754539076608,87.3998522893873,86.068696620808
Age dependency ratio (% of working-age population),SP.POP.DPND,Burundi,BDI,89.4163225949188,90.403864566983,91.5305780870795,92.7235748352145,93.9142395007374,96.3765750688462,99.2083791083558,100.32346344538,99.724814037473,98.2122099719378,96.8000297610229,95.1967727682806,93.249508164573
Age dependency ratio (% of working-age population),SP.POP.DPND,Cabo Verde,CPV,61.6356706702516,59.4321118247072,57.4490298492056,55.567048329194,53.8588977797814,52.3468712062686,51.1497410883223,50.2817013805762,49.5072724750495,48.7280141039652,47.9540271916058,47.1761404457395,46.4769115653314
Age dependency ratio (% of working-age population),SP.POP.DPND,Cameroon,CMR,88.0478309264049,87.7656192195186,87.4926367496438,87.1420665807524,86.3976266376026,85.555672113657,85.0384062912791,84.7046133786238,84.301020835258,83.7101638791049,83.0233118882201,82.2560985497714,81.420019510369
Age dependency ratio (% of working-age population),SP.POP.DPND,Central African Republic,CAF,92.4333502776822,93.6778699458056,95.8435255975245,98.2749302775891,101.532344192215,103.775742933035,103.825454569636,103.864320589079,103.896002545308,103.540978584789,102.787587763261,102.768340043785,102.61809671741
Age dependency ratio (% of working-age population),SP.POP.DPND,Chad,TCD,103.395422087249,103.129462828044,102.725747631206,102.194964266067,101.573916103233,101.552465556078,101.487943724818,101.017487296732,100.434890617759,99.9047014252765,99.3992756806502,98.7271322974766,98.0885350438781
Age dependency ratio (% of working-age population),SP.POP.DPND,Comoros,COM,86.0828719252065,84.2631218565155,82.5691547808276,81.0299709324146,79.6747006733279,78.4972047783989,77.4554240246553,76.5876153138136,75.9792265023043,75.4644572366597,74.8393477181195,74.11625339332,73.3506523639648
Age dependency ratio (% of working-age population),SP.POP.DPND,"Congo, Dem. Rep.",COD,97.1462850892734,96.945342444714,96.9860726113557,97.1253042480302,97.2279768399832,97.3441861685737,97.3043145935574,97.2997344399044,97.5312650523214,97.8524291555531,97.9987919179923,97.9704267713562,97.8549361742851
Age dependency ratio (% of working-age population),SP.POP.DPND,"Congo, Rep.",COG,76.2052785131987,76.7528810640765,77.6481913324622,78.7473491849114,79.6498092643052,80.3426820231173,80.7144298069422,80.747474988049,80.5837090886884,80.1987359284786,79.5963393946571,78.8237017307805,77.8459058281952
